"","year","county","waste_recycled_muni","locomobiles_density","automobiles_density","factory_density","urban_density","hospital_bed","rate_material_recov","employee_industrial","family_income","oral","breast","liver","ovarian","smoke","no2","co","lung","ozone","revenue","pm","so2"
"212",2009,"臺東縣",42675.6666666667,75.225,39.4733333333333,NA,2624.71666666667,116.263333333333,100,28.8633333333333,15.5883333333333,40.7733333333333,27.8033333333333,50.355,3.16,23.43075,11.05,0.416666666666667,44.15,1.16666666666667,194381.333333333,"58.7","2.1"
"213",2009,"花蓮縣",40987,52.27,22.67,"0.08",2105.23,130.16,100,24.08,15.89,45.17,27.57,53.38,2.93,23.3989,10.8,0.43,46.05,1,187199,"57.5","2.4"
"214",2009,"苗栗縣",56015,192.39,104.41,"0.88",4111.64,65.17,100,46.71,19.6,21.72,28.66,50.2,4.45,21.3891,14,0.38,41.83,3,187123,"53.9","3.15"
"215",2009,"雲林縣",40119,376.62,177.82,"1.08",2963.37,52.78,99.35,32.78,21.61,46.35,24.49,88.68,3.6,18.8926,13.6,0.37,60.74,3,168700,"110.4","3.3"
"216",2009,"高雄市",422630,753.98,268.08,"2.09",6013.35,74.41,100,34.99,24.54,34.18,40.67,60.7,5.16,19.88173892,18.5,0.46,42.98,17,442663,"49.3","2.65"
"217",2010,"南投縣",58857,86.35,45.67,"0.2",2235.4,65.41,100,28.45,18.51,36.85,32.1,48.24,2.66,22.4112,15.7,0.45,43.5,3,198424,"57.6","2.95"
"218",2010,"嘉義市",42555,3381.29,1397.87,"7.23",4990.94,147.29,100,27.45,23.48,39.28,45.52,77.46,8.81,17.5915,17.8,0.46,47.36,1,189889,"68.3","4"
"219",2010,"嘉義縣",54602,194.92,92.33,"0.84",1332.74,62.66,100,29.94,16.04,48.23,34.42,82.65,2.58,19.875,12.5,0.34,66.82,2,188878,"72.6","3.3"
"220",2010,"基隆市",60849,1451.2,664.42,"1.88",5140.06,68.18,100,29,15.14,21.61,37.23,49.46,6.51,22.6796,13.9,0.43,48.94,1,258658,"76.6","3"
"221",2010,"宜蘭縣",64783,137.72,63.99,"0.41",3682.61,92.29,100,31.04,18.71,21.5,39.31,47.78,4.34,18.0936,9.8,0.38,75.14,2,218042,"55.2","5.43"
"222",2010,"屏東縣",79640,255.48,90.28,"0.33",2777.58,70.17,100,29.34,21.44,42.36,33.89,51.75,6.3,20.2162,9.8,0.35,42.13,4,199961,"74","3.33"
"223",2010,"彰化縣",128138,852.24,405.4,"7.28",4906.88,61.12,100,46.21,21.99,40.62,33.66,51.48,3.98,17.2186,16.7,0.37,52.48,3,186471,"107.7","3.75"
"224",2010,"新竹市",58621,2546.22,1273.38,"12.88",7550.42,60.79,100,43.68,20.62,19.5,40.45,47.91,7.95,20.3128,18.4,0.48,39.97,1,269688,"57.5","3.8"
"225",2010,"新竹縣",54755,195.11,126.88,"1.08",5270.83,46.49,100,51.35,17.55,23.78,31.19,36.26,3.7,19.4605,13.1,0.36,42.3,2,232437,"83.8","3.1"
"226",2010,"桃園市",52574.8333333333,171.406666666667,109.566666666667,NA,4743.15166666667,61.1833333333333,100,46.975,18.3016666666667,27.245,32.78,37.3983333333333,3.77166666666667,20.1192166666667,12.5833333333333,0.371666666666667,42.58,1.83333333333333,229247.833333333,"61.1","3.46"
"227",2010,"臺中市",50394.6666666667,147.703333333333,92.2533333333333,NA,4215.47333333333,75.8766666666667,100,42.6,19.0533333333333,30.71,34.37,38.5366666666667,3.84333333333333,20.7779333333333,12.0666666666667,0.383333333333333,42.86,1.66666666666667,226058.666666667,"77.2","4.18"
"228",2010,"臺北市",48214.5,124,74.94,NA,3687.795,90.57,100,38.225,19.805,34.175,35.96,39.675,3.915,21.43665,11.55,0.395,43.14,1.5,222869.5,"58.8","3.38"
"229",2010,"臺南市",46034.3333333333,100.296666666667,57.6266666666667,NA,3160.11666666667,105.263333333333,100,33.85,20.5566666666667,37.64,37.55,40.8133333333333,3.98666666666667,22.0953666666667,11.0333333333333,0.406666666666667,43.42,1.33333333333333,219680.333333333,"95.1","6.86"
"230",2010,"臺東縣",43854.1666666667,76.5933333333333,40.3133333333333,NA,2632.43833333333,119.956666666667,100,29.475,21.3083333333333,41.105,39.14,41.9516666666667,4.05833333333333,22.7540833333333,10.5166666666667,0.418333333333333,43.7,1.16666666666667,216491.166666667,"64.1","2"
"231",2010,"花蓮縣",41674,52.89,23,"0.08",2104.76,134.65,100,25.1,22.06,44.57,40.73,43.09,4.13,23.4128,10,0.43,43.98,1,213302,"50.3","2.2"
"232",2010,"苗栗縣",63702,195.39,106.26,"0.88",4012.92,65.16,99.23,47.19,24.59,22.64,37.26,57.22,4.46,21.3717,13.5,0.36,45.99,3,190390,"54.5","3.1"
"233",2010,"雲林縣",50439,381.35,181.02,"1.1100000000000001",2941.02,56.52,100,32.52,24.32,47.66,27.03,84.3,4.74,20.1177,14.2,0.37,53.79,3,172471,"93.3","3.3"
"234",2010,"高雄市",410841,766.74,270.87,"2.09",6039.41,75.44,99.92,36,25.25,33.89,44.49,59.92,5.48,21.3208,19,0.46,45.29,17,473961,"54.5","2.45"
"235",2011,"南投縣",60600,88.12,46.57,"...",2221.88,64.96,100,30.13,13.67,43.04,41.7,49.73,5.16,20.2758,16.2,0.44,48.01,3,186515,"66.9","2.85"
"236",2011,"嘉義市",39450,3432.54,1427.56,"...",4975.11,150.67,100,26.96,19.8,37.2,48.61,74.76,8.84,16.8406,16.6,0.45,57.08,1,196735,"83.9","4"
"237",2011,"嘉義縣",60214,196.38,94.43,"...",1336.17,63.17,100,30.39,24.35,48.15,35.51,78.26,5.21,17.7765,11.3,0.33,65.62,2,204799,"83.2","3.3"
"238",2011,"基隆市",64018,1476.88,674.9,"...",5083.76,70.54,100,30.25,15.06,20.79,49.75,56.06,7.11,26.4911,12.2,0.38,53.96,1,241284,"60.2","2.6"
"239",2011,"宜蘭縣",70577,139.49,65.52,"...",3920.36,94.32,100,32.05,16.51,25.49,40.74,52.5,4.57,17.2772,9.6,0.34,59.03,2,190229,"60.1","4.65"
"240",2011,"屏東縣",84859,260.69,92.45,"...",2949.4,71.51,100,29.1,21.31,43.14,35.16,55.98,4.74,17.1654,9.1,0.35,45.46,4,181402,"76.5","3"
"241",2011,"彰化縣",137331,868.14,415.69,"...",4860.12,61.01,100,46.04,24.92,39.98,34.69,50.19,4.22,15.8686,14.5,0.36,54.41,3,186197,"73.8","4.05"
"242",2011,"新竹市",59635,2616.32,1311.61,"...",7661.92,62.09,100,44.59,14.8,25.23,41.66,45.47,5.71,16.4738,16.4,0.42,35.23,1,276744,"41.9","3.4"
"243",2011,"新竹縣",61300,201.37,131.1,"...",5356.63,44.9,100,49.86,17.32,20.48,29.94,34.77,4.44,22.2215,12.6,0.32,42.31,2,253970,"63.5","2.8"
