"","year","county","waste_treatment","so2","ozone","pm_total","pm2.5","年齡標準化發生率.WHO.2000世界標準人口.(每10萬人口)","癌症發生數","平均年齡","年齡中位數","粗率.(每10萬人口)"
"89",2017,"南投縣","91.83","2.31","26.2","48.8",22.5,34.88,325,68.65,69,64.86
"90",2017,"嘉義市","100","3.41","28.1","63.7",26,38.45,165,66.12,67,61.25
"91",2017,"嘉義縣","100","2.82","32.51","58.3",23.2,39.33,403,68.75,69,78.84
"92",2017,"基隆市","100","2.3","32.41","51.7",14.3,37.32,250,68.65,68,67.3
"93",2017,"宜蘭縣","100","1.91","30.4","36.5",11.8,37.85,316,69.51,71.5,69.21
"94",2017,"屏東縣","99.94","2.45","33.79","-",17.4,31.94,484,67.94,67,58.32
"95",2017,"彰化縣","100","3.4","29.14","54.2",20.4,41.85,897,67.39,68,69.94
"96",2017,"新北市","100","2.85","30.95","40.7",16.1,39.85,2477,66.05,66,62.13
"97",2017,"新竹市","100","2.3","30.45","19.8",17.7,37.82,231,64.58,65,52.37
"98",2017,"新竹縣","88.7","2.36","31.64","47.8",15.6,36.2,290,66.21,67,52.52
"99",2017,"桃園市","98.78","3.42","31.89","57.7",17.4,35.47,1066,66.4,66,48.72
"100",2017,"澎湖縣","100","1.74","38.020000000000003","49",15.3,37.59,66,66.35,67,63.42
"101",2017,"臺中市","98.69","2.62","29.99","43.9",19.2,39.34,1584,65.75,65,56.83
"102",2017,"臺北市","100","2.76","27.13","38.7",13.5,40.87,1987,67.7,67,74.05
"103",2017,"臺南市","100","2.79","29.71","48.3",24,40.06,1283,67.62,68,68.01
"104",2017,"臺東縣","99.79","1.23","24.26","34",8.3,36.94,148,67.67,66,67.41
"105",2017,"花蓮縣","93.45","1.68","28.03","32.299999999999997",9.8,31.58,184,67.92,68.5,55.89
"106",2017,"苗栗縣","99.97","2.32","31.01","41.9",17.1,32.62,321,68.78,69,57.96
"107",2017,"連江縣","91.97","2.74","45.08","-",20.5,42.44,8,63.13,62,62.11
"108",2017,"金門縣","94.98","3.69","37.83","49.7",24.2,17.08,40,69.2,70,29.1
"109",2017,"雲林縣","87.46","2.82","31.04","61.2",26.7,38.32,493,67.56,68,71.41
"110",2017,"高雄市","100","4.16","30.02","64.4",24.6,37.69,1752,66.41,66,63.09
"111",2018,"南投縣","76.19","2.21","25.98","35.9",21.4,30.61,286,67.14,67,57.54
"112",2018,"嘉義市","100","3.45","28.87","56.4",24.5,42.99,195,67.3,67,72.59
"113",2018,"嘉義縣","100","2.7","32.13","57.5",22.1,41.12,434,69.64,70,85.59
"114",2018,"基隆市","100","2.32","32.59","41.3",13.2,38.43,260,66.48,67,70.24
"115",2018,"宜蘭縣","100","1.93","30.87","36.7",10.6,40.14,332,68.26,69,72.93
"116",2018,"屏東縣","100","2.23","34.12","59.3",15.7,34.19,524,66.9,66,63.48
"117",2018,"彰化縣","100","3.5","29.51","44.6",21.3,40.88,895,67.61,68,70.04
"118",2018,"新北市","100","2.65","30.81","41.7",15.4,40.52,2623,65.32,65,65.65
"119",2018,"新竹市","100","2.04","28.86","46",17.9,42.3,267,64.63,65,59.91
"120",2018,"新竹縣","89.91","2.32","31.7","38.4",15.9,37.8,307,65.44,65,55.12
"121",2018,"桃園市","95.45","3.5","31.78","44.5",17.1,39.05,1237,65.37,65,55.7
"122",2018,"澎湖縣","99.69","1.71","42.58","63.1",14.6,31.42,57,67.42,67,54.58
"123",2018,"臺中市","98.88","2.4700000000000002","30.65","42.8",19.1,41.32,1719,65.24,65,61.31
"124",2018,"臺北市","100","2.4","27.75","31.9",12.5,38.16,1871,66.86,67,70.11
"125",2018,"臺南市","100","2.65","29.56","53.6",22.9,41.24,1364,67.48,67,72.41
"126",2018,"臺東縣","98.21","1.22","24.52","37.1",8.1,37.48,153,68.59,69,69.89
"127",2018,"花蓮縣","93.5","1.63","27.78","24.8",9.2,36.75,214,66.48,66.5,65.25
"128",2018,"苗栗縣","100","2.42","31.66","45.5",17.6,37.58,363,67.58,69,66.14
"129",2018,"連江縣","96.12","2.57","43.93","-",19.2,30.81,6,67,67.5,45.96
"130",2018,"金門縣","95.21","3.44","38.880000000000003","53.7",22.9,12.88,30,67.17,65.5,21.54
"131",2018,"雲林縣","78.39","2.65","31.72","49.2",25,36.99,492,68.87,71,71.72
"132",2018,"高雄市","100","3.68","31.19","59.4",21.7,35.81,1711,65.75,66,61.69
